,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,58,59
1,"Toothed whale",0.000164920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00847377,
2,"Baleen whale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00339000,
3,Seal,0.000410939,,,,,,0.000130075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798582,
4,Seabirds,0.000824600,,,,,,0.0000463794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0123823,
5,Penguins,0.000507000,,,,,,0.0000463794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00406166,
6,Tuna/billfish,0.000410939,,,,,,0.000130075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0652283,
7,"Pelagic sharks",0.000333376,,,,,,0.0000301489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00107771,
8,"Demersal sharks",,,,,,,0.000695690,,,,,,,,,,,,,,,,,,,,0.0138592,,0.142416,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478893,
9,Rays,,,,,,,0.000695690,0.0133078,,,,,,,,,,,,,,,,,,,0.0138592,,0.235919,,,,,,,,,,,0.00168480,,,,,,,,,,,,,,,,0.981227,
10,Warehous,,,0.0714167,,,,0.000248127,,,,,,,,,,,,,,,,,,,,,,0.0471838,,,,,,,,,,,0.00168480,,,,,,,,,,,,,,,,0.496462,
11,Redbait,,0.000672000,0.396760,0.00240000,,0.170759,,0.0176440,,,,,,0.104879,,,,,,,,,,,,,0.0692961,,0.0807024,,,,,,,,,,,,,,0.0486409,,,,0.193403,,,,,,,,,1.875217,
12,Redfish,,,0.0365019,,,,0.0000463794,0.0498256,,,,,,0.0420936,,,,,,,,,,,,,,,0.0104144,,,,,,,,,,,,,,,,,,0.0386807,,,,,,,,,2.030569,
13,Ling,,,0.0190445,,,,0.0000051730,0.00220550,,,,,,,,,0.0296297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193403,,,,,,,,,0.227142,
14,Dories,,,0.0158704,,,,0.0000412063,0.00220240,,,,,,,,,0.0211641,,,,,,,,,,0.0415777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237281,
15,"Jack mackerel",0.0131289,,0.476112,,,0.245467,0.000231897,0.459270,,,,,,0.267639,,,0.0112857,0.0173774,,,,,,,,,0.0828250,,0.151910,,,0.0224177,,,,,,,,,,,,,,,0.0193403,,,,,,,,,4.990930,
16,"Jackass morwong",,,0.0253926,,,,,0.0240755,,,,,,,,,,,,,,,,,,,0.0274932,,0.0424366,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541285,
17,Flathead,,,0.0555463,,,,,0.0142283,,,,,,,,,,,,,,,,,,,0.0138592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426547,
18,Gemfish,,,0.0155530,,,,0.0000206921,,,,,,,,,,,,,,,,,,,,,,,,0.00693815,0.0220441,,,,,,,,,,,,,,,,,,,,,,,,0.0651261,
19,ShOceanPerch,,,0.00793519,,,,,0.00220550,,,,,,,,,0.00423281,,,,,,,,,,,,0.00949440,,,,,,,,,,,,,,,,,,0.0193403,,,,,,,,,0.105761,
20,"Chinaman leatherjacket",,,0.000317408,,,,,0.000219500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00320659,
21,Cucumberfish,,,,,,,,0.0147973,,,,0.100055,0.0849545,0.165764,,,0.271702,,0.0417713,,,,,,2.301360,0.264686,0.0554369,,0.191627,,,0.00336266,,,,,,0.0454724,,,,,,,,,,,,,,,,,,6.607661,
22,Whiting,,,0.0158704,,,,,0.00574650,0.0840000,,,,,0.00603880,,,0.211641,,,,,,,,2.301360,,0.00321359,,0.394673,,,,,,,,,,,,,,,,,,0.0193403,,,,,,,,,5.688128,
23,Cardinal,,,0.0126963,,,,,0.0806160,,0.0387971,,2.566733,0.204913,0.175114,0.115606,0.276957,0.105820,,0.0389278,,,,,0.00732775,2.320947,,0.0343665,,0.857211,,0.00640785,0.000373629,,,,,,0.120283,,,,,,,,,,,,,,,,,,12.55138,
24,ShSmInvertFeeder,,,0.144421,,,,,0.0333746,0.0936477,,,0.0987205,0.252903,0.245130,0.0246917,0.0195750,0.180862,0.000398891,0.0434695,0.00119600,0.324077,0.142034,,0.0704478,1.178365,0.423394,0.346481,,0.0678464,,0.00402148,0.00859346,,,,,,0.0172753,,,,,0.199428,,,,0.0967017,,,,,,,,,6.012500,
25,ShSmPredator,,,0.0793519,,0.00800000,,,0.0328050,,,,0.100055,0.256320,,,,,,,0.00119600,0.196061,,,0.0180616,1.150680,,0.0161387,,,,,,,,,,,0.0824724,,,,,0.0145923,,,,0.116042,,,,,,,,,5.368120,
26,ShMedInvertFeeder,,,,0.00120000,,,,0.0285350,,,,0.00655228,,0.0209834,,0.0184121,0.0529102,,0.0431500,,0.0324077,0.142034,,0.0165745,0.114618,0.00660329,0.0343665,,0.0471838,,,,,,,,,0.0480466,,,,,,,,,0.0483508,,,,,,,,,1.337440,
27,ShMedPredator,,,0.0634815,0.00120000,,,,0.0110120,,,,,,0.0186779,,,0.0106384,,,,,,,,,,,,,,,,,,,,,0.0240028,,,,,,,,,0.0483508,,,,,,,,,0.279852,
28,ShLInvertFeeder,,,,,0.00800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0539637,
29,ShLPredator,,,,,,,,0.0176192,,,,,,,,,0.0211641,0.0405449,0.00340722,,,,,,,,0.0277184,,,,,,,,,,,,,,,,,,,,0.158591,,,,,,,,,1.197334,
30,"Blue-eye trevalla",0.00166836,,,,,,,0.00220599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0180572,
31,"Blue grenadier",,,,,,,,,,,,,,,,,,0.00595425,,,,,,,,,,,,0.000686000,0.0177152,,,,,,,,,,,,,,,,,,,,,,,,,0.0893485,
32,SlopeOceanPerch,,,,,,,,,,,,0.00998631,,,,,,,,,,,,,,,,,0.00736468,,,0.00186814,,,,,,0.00724713,,,,,,,,,,,,,,,,,,0.0758407,
33,"Deepsea Cod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00480466,,,,,,,,,,,,,,,,,,0.0402365,
34,Oreos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00217414,,,,,,,,,,,,,,,,,,0.00761350,
35,SlopeSmInvertFeeder,,0.00134400,,,,,,,0.00420000,,,,,,,,,,,0.00119600,,,,,,,,,,0.000686000,0.00777780,0.00149451,0.00723800,,,,,,,0.0269568,,,,,,,,,,,,,,,,0.0928070,
36,SlopeSmPredator,,0.000672000,,,,,,0.0121247,0.0168000,,,0.00998631,0.0107849,,,,,0.000942203,0.00720068,0.00119600,,,,,,,,,,0.000686000,,,0.00723800,,,,,0.00507299,,0.00336960,,,,,,,,,,,,,,,,0.206945,
37,SlopeMInverFeeder,,,,,,,,0.0489555,0.0424229,,,0.0449840,,,,,,0.000771725,,,,,,,,,0.000472836,,,0.000686000,0.0515721,0.0773411,,,,,0.0539759,0.00969810,,0.0336960,,,,,,,,,,,,,,,,2.015302,
38,SlopeMPredator,,,,,0.00800000,,,0.0121132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00421200,,,,,,,0.0328786,,,,,,,,,0.0978073,
39,SlopeLInvertFeeder,,,,,,,,0.0115055,,,,0.145794,0.0594994,,,,0.223194,,0.0354183,,,,,,0.119828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857258,
40,SlopeLPredator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00331440,,,,,,,,,,,,,,,,,,,,,,,,,0.0408339,
41,PelSmInvertFeeder,0.0164920,0.00268800,,0.00120000,0.0368000,0.00968926,,0.00316498,,,,,,,,,0.507938,,,,,,,,,,,,1.329216,,,,,,,,,,,,,0.0222700,0.194564,,0.116125,,3.094455,,,,,,,,,12.92594,
42,PelMInvertFeeder,0.00825424,,,,,,0.0000520300,0.0109750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00483852,,0.0193403,,,,,,,,,0.105332,
43,PelMPredator,0.00164376,,,,,0.0213449,0.000156090,0.0219500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0386807,,,,,,,,,0.195656,
44,PelLInvertFeeder,0.00418116,,,,,,0.000206921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0207933,
45,PelLPredator,,,0.0158704,,,,0.000258651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0493998,
46,Mesopelagics,0.0164920,0.00134400,,0.0324000,,0.00533623,,0.00107163,,0.00345551,0.604921,0.691044,,,6.193666,0.000153111,0.0795615,0.210079,,,,,50.96808,,,,,,0.569664,0.00343000,0.313713,0.0254067,,0.0120906,0.0000095604,0.469587,2.108434,0.0913139,0.250282,0.00421200,1.537906,0.0267240,0.408584,0.0155495,,21.28000,4.160108,,,,,,,,,69.43738,
47,Squid,0.0251810,,0.0872871,0.0648000,0.00800000,0.0749303,0.000519231,0.484800,,0.0985342,,0.500273,,0.00757175,,0.0178747,,0.00113181,0.0108738,,0.574498,0.194219,,0.0493483,0.000164470,0.0167338,0.138592,,0.118680,0.0137200,0.0129041,0.000373629,,,0.0000159340,0.0000541126,0.0978314,,0.0125141,0.0589680,0.192238,,0.00972818,0.00204599,0.0725779,0.608000,2.127438,,,,,,,,,3.984111,
48,"Commercial Prawns",,,,,0.00320000,,,0.0627669,0.352800,0.0000273988,,0.251346,0.0116415,0.0135189,,0.0460506,,,0.00735141,,0.183183,,0.609324,0.809766,1.150680,0.000432771,0.0692961,,0.356040,0.000686000,0.00384471,,,,0.0168741,0.00550298,0.283374,0.00569330,,0.00842400,,,,,,,2.901051,,,,,,,,,7.915975,
49,Macrobenthos,,,,0.00600000,,,0.000222440,0.0116760,0.479379,0.0448672,,0.000616208,,0.00124755,0.178073,0.161174,0.0132923,,0.0151523,0.00119600,4.537071,13.50645,,6.370331,2.301360,0.661714,0.0692961,0.0734400,0.00207696,,0.000707073,0.0295167,0.101332,0.00284858,0.0868349,0.0458581,0.0160241,,1.668545,,0.192238,0.0445400,,0.00102299,,,,,,34.14920,7.124298,,,,,60.54748,
50,Megabenthos,,,,,0.00400000,,0.0000927587,0.562778,1.436400,0.0113129,,0.534034,0.110236,0.00865730,0.225021,0.232809,0.105820,,0.0501573,0.00119600,3.826695,0.331790,0.763715,5.852263,2.307017,3.804854,0.207888,0.0571200,0.0392812,,0.00318183,0.0661323,0.0289520,0.000949527,0.115728,0.119231,0.837470,0.000143594,2.169109,0.0252720,,,,,,,3.868068,,,,,,,,,15.11905,
51,Polychaeta,,,,,,,,0.00664800,0.875841,0.000302156,,0.00584847,,,0.00401646,1.275222,0.00321255,,0.00391186,,1.620383,13.06153,0.0275918,4.260379,,0.330165,0.000679525,0.0428400,0.0000966026,,,0.00298903,,,0.168374,0.120148,0.119759,0.0187642,0.0166855,,,,,,,,,,,3.414920,,,,,,29.83299,
52,"Gelatinous nekton",,,,0.00120000,,,,0.00193331,,1.946561,3.821390,0.00749352,,,0.211104,0.0000250050,0.0507259,,0.181827,0.00478399,2.400691,,,0.0982889,1.294216,,0.0000419040,,0.00260827,0.0480200,0.000928033,0.0969492,,,0.00151904,0.0000007337,,0.000714088,,,,0.0222700,,0.000920694,,,,,,,,,,,,7.870343,
53,Euphausids,,0.00672000,,,0.00400000,0.0107658,,0.000387099,0.0000723496,0.0109542,1.389544,0.907337,0.0323726,0.00505359,1.860160,0.217840,0.00262908,,0.000163939,,9.313582,0.445741,3.195013,0.469250,0.109506,,,,0.00624814,,,0.00143876,,,0.0234580,0.00670318,,,,,,0.133620,,,,238.6400,1.353824,,,,,,,,,191.5035,
54,"L zooplankton",,,,,,,,0.00373977,0.241743,0.000230962,1.073844,2.876096,0.0385123,0.00639150,7.220842,0.214244,0.103191,,0.0208793,,6.918848,0.145040,5.127161,3.022775,4.475222,1.010520,0.109973,0.0306000,0.0192883,,0.00397729,0.0153745,,0.0126604,0.00345984,0.0397786,4.878073,0.0000047638,0.0125141,,15.31498,0.133620,0.0486409,0.0779521,0.0483852,,0.967017,,28.38163,,,,,,,69.26681,
55,"Sm zooplankton",,,,,,,,0.0568620,0.530460,0.00480177,2.375652,1.273541,0.00586306,0.00349262,3.766821,0.212164,0.105820,,0.0199080,,2.749258,0.159259,0.233499,8.591114,1.887483,0.0757349,0.000216599,,0.0189888,,0.000397729,0.000373629,,0.00316509,0.0421560,0.0727952,0.00506024,0.0000142940,,,45.30413,0.0623560,0.0486409,0.00480807,,43.47200,,7.539497,113.5265,27.31936,7.124298,34.83557,177.9168,60.08934,,479.5006,
56,"Primary producers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.537906,,,,,,,30.15799,,,71.24297,1.833451,711.6673,240.3574,2097.815,1315.388,
57,"Benthic producer",,,,,,,,0.000415530,,0.000155272,,,,,,,,,,,,,,,0.000798855,0.0209894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0223591,
58,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.9082,3.414920,56.99438,,,,,,
59,Discards,,,0.0476112,0.00960000,,,,0.0612360,0.0424229,,,,,,,,,,,,,,,,,,0.00345104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0291103,
60,Import,0.0794300,0.0537600,0.000000,0.120000,0.000000,0.538292,0.00129326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,Sum,0.169123,0.067200,1.587038,0.240000,0.080000,1.076585,0.005169,2.187000,4.200189,2.160000,9.265350,10.130500,1.068000,1.092252,19.799999,2.692500,2.116434,0.277200,0.523570,0.011960,32.676750,28.128099,60.924389,29.635929,23.013611,6.615827,1.380399,0.204000,4.748571,0.068600,0.437400,0.376050,0.144760,0.031714,0.458430,0.879660,8.400001,0.483198,4.129650,0.168480,64.079399,0.445400,0.972818,0.102299,0.241926,304.000000,19.340340,37.697491,283.816315,68.298401,142.485901,36.669022,889.584106,300.446686,2097.814941,2318.987061,0.000000
